"property_id","property_name","property_address","property_street","property_city","property_state","property_zip","property_website","property_owner","property_management","property_asset_grade_market","property_asset_grade_submarket","year_built","total_units","total_square_feet","status","msa","submarket_name","survey_date","last_sale_date","last_sale_price","parcel_number","levels"
"1014","The Pointe at Harper`s Mill II","600 Harpers Mill Rd, Millersville, MD 21108","600 Harpers Mill","Millersville","MD","21108","http://www.liveattp.com/","Quest Management Group","Quest Management Group","B+","B+","1974",214,199448,"Stabilized","Baltimore-Columbia-Towson, MD","Northeast Anne Arundel County","8/10/2020",NULL,NULL,"",4
"1016","2300 Elliott Apartments","2300 Elliott Ave, Seattle, WA 98121","2300 Elliott","Seattle","WA","98121","http://2300elliottapartments.com/","Equity Residential","Equity Residential","B+","C","1992",92,68632,"Stabilized","Seattle-Bellevue-Everett, WA","Downtown Seattle","8/28/2020",NULL,NULL,"065400-0285",5
"1017","Atrium","3800 Meriwether Dr, Durham, NC 27704","3800 Meriwether","Durham","NC","27704","http://www.gscapts.com/apartments/Durham_NC/zip_27704/gsc/4503","General Services Corporation","General Services Corporation","B+","A+","1989",208,196352,"Stabilized","Raleigh/Durham, NC","East Durham","8/7/2020","1999-03-02",NULL,"172109",2
"1018","Augusta","4001 NW 122nd St, Oklahoma City, OK 73120","4001 122nd","Oklahoma","OK","73120","http://www.augusta-apts.com/","Independence Realty Trust","Independence Realty Trust","B","B","1986",197,158191,"Stabilized","Oklahoma City, OK","North Central Oklahoma City","8/18/2020","2014-02-28",NULL,"134652050",3
"1019","Trinity Lakes II","7878 Windrush Cir, Cordova, TN 38016","7878 Windrush","Cordova","TN","38016","http://www.trinitylakesapts.com/","CLK Properties","CLK Properties","B","C+","1991",210,186060,"Stabilized","Memphis, TN-MS-AR","Cordova/Bartlett","8/11/2020",NULL,NULL,"096-900 -328",3
"1020","Bay Ridge","1099 W Capitol Dr, San Pedro, CA 90731","1099 Capitol","San","CA","90731","https://availablerentals.bfpminc.com/ca/san-pedro/1099-capitol-dr/index.aspx?_yTrackUser=ODU0NzI2NDYxIzIwMzIzNTM4NjM%3d-E2SJJ%2fJqpkY%3d&_yTrackVisit=MTU0NzQ2MzE5NCMxMDgxODUxMzQ1-FihP5aGSr5I%3d&_yTrackReqDT=59540720201607","Privately Owned","Beach Front Property Management Inc","B","B-","1982",60,46740,"Stabilized","Los Angeles-Long Beach-Glendale, CA","South Bay","8/4/2020","2015-01-15",NULL,"7445-022-076",3
"1021","Kallisto at Bear Creek I","2605 S Miller Dr, Lakewood, CO 80227","2605 Miller","Lakewood","CO","80227","https://www.kallistoatbearcreek.com/","Gelt Inc","","B-","B+","1987",256,231168,"Stabilized","Denver-Aurora-Lakewood, CO","South Lakewood","8/10/2020","2020-01-15",NULL,"175790",3
"1022","Blue Swan I","11710 Parliament St, San Antonio, TX 78213","11710 Parliament","San","TX","78213","http://www.blueswan-apts.com/","Cottonwood Residential","Cottonwood Residential","B-","B-","1990",165,130845,"Stabilized","San Antonio-New Braunfels, TX","Northwest San Antonio","8/4/2020","2015-09-25",NULL,"16246-003-0024",3
"1023","Boynton Place Apartments","10492 Boynton Pl Cir, Boynton Beach, FL 33437","10492 Boynton Pl","Boynton","FL","33437","https://www.robbinspropertyllc.com/apartments/fl/boynton-beach/boynton-place-apartments/","Robbins Property Associates","Robbins Property Associates","B-","B-","1988",192,189504,"Stabilized","West Palm Beach-Boca Raton-Delray Beach, FL","Boynton Beach/Delray Beach","8/3/2020",NULL,NULL,"",3
"1024","47seventy Settler`s Point I","4770 S Simmental Dr, Taylorsville, UT 84123","4770 Simmental","Taylorsville","UT","84123","http://www.47seventysettlerspoint.com/","TruAmerica Multifamily","Avenue5 Residential","C+","C+","1986",128,98944,"Stabilized","Salt Lake City/Ogden/Clearfield, UT","Southwest Salt Lake City","8/12/2020",NULL,NULL,"21-10-202-004-0000",2
"1026","Sedona Park","4200 W Northgate Dr, Irving, TX 75062","4200 Northgate","Irving","TX","75062","http://www.sedonaparkapts.com/","Privately Owned","Vidalta Property Management","B","A+","1984",282,221934,"Stabilized","Dallas-Plano-Irving, TX","South Irving","8/4/2020","2018-02-26",NULL,"32-04725-001-001-0000",3
"1027","Burwick Farms","525 W Highland Rd, Howell, MI 48843","525 Highland","Howell","MI","48843","http://www.burwickfarms.com/","Monarch Investment and Management Group","Monarch Investment and Management Group","B","B-","1989",264,270072,"Stabilized","Detroit-Warren-Dearborn, MI","Novi/Livingston County","8/18/2020",NULL,NULL,"17-26-400-057",3
"1028","Bravo","2108 Calais Way, Arlington, TX 76006","2108 Calais","Arlington","TX","76006","https://www.bravoapts.com/","Anterra Multi-Family Real Estate Services","Anterra Multi-Family Real Estate Services","B","B-","1985",264,206184,"Stabilized","Fort Worth-Arlington, TX","North Arlington","8/18/2020","2013-01-03",NULL,"05957575",2
"1029","Cambridge","737 7th St SE, Puyallup, WA 98372","737 7th","Puyallup","WA","98372","http://www.cambridgeapartmenthomes.com/","Goodman Real Estate Group","Goodman Real Estate Group","B+","B","1988",96,84096,"Stabilized","Tacoma-Lakewood, WA","East Pierce County","8/5/2020",NULL,NULL,"032031-5-012",3
"1030","Cambridge at Hickory Hollow","660 Bell Rd, Antioch, TN 37013","660 Bell","Antioch","TN","37013","http://www.cambridgehickoryhollow.com/","Security Properties","Security Properties","","","1997",360,378360,"Rehab","Nashville-Davidson--Murfreesboro--Franklin, TN","Southeast Nashville","8/6/2020","2019-09-18",NULL,"163-00-0-301",3
"1031","Cambridge Village","1402 N Valley Pkwy, Lewisville, TX 75077","1402 Valley","Lewisville","TX","75077","http://adaraportal.yottareal.com/pages/HomePage.aspx?id=39","Stockbridge Real Estate/Bailard Wealth Management","Adara Communities","B","B-","1987",200,160000,"Stabilized","Dallas-Plano-Irving, TX","Lewisville/Flower Mound","8/3/2020","2003-07-29",NULL,"R121060",2
"1032","Carolina Crossing","702 Edwards Rd, Greenville, SC 29615","702 Edwards","Greenville","SC","29615","https://princetonmanagement.com/communities/carolina-crossing-apartments/","Princeton Management","Princeton Management","B-","B-","1972",155,120900,"Stabilized","Greenville/Spartanburg, SC","North Greenville","8/6/2020","2011-04-08",NULL,"0277.00-02-001.00",2
"1034","The Grove","2901 N Rainbow Blvd, Las Vegas, NV 89108","2901 Rainbow","Las","NV","89108","http://www.thegrovevegas.com/","Haven Realty Capital","Ovation Property Management","B","B-","1989",256,235520,"Stabilized","Las Vegas-Henderson-Paradise, NV","Northwest Las Vegas","8/3/2020","2018-11-02",NULL,"138-15-601-002",2
"1037","Chestnut Hills Apartments","209 21st Ave SW, Puyallup, WA 98371","209 21st","Puyallup","WA","98371","http://www.chestnuthillsapts.net/","","Bridge Investment Group","A-","A-","1991",157,137689,"Stabilized","Tacoma-Lakewood, WA","East Pierce County","8/3/2020","2016-10-05",NULL,"042033-8-047",3
"1038","Chimneys","1630 Delane Ave, Charlotte, NC 28211","1630 Delane","Charlotte","NC","28211","http://www.lernerapartments.com/Chimneys","Lerner Enterprises","Lerner Residential","B-","C+","1972",214,150442,"Stabilized","Charlotte-Concord-Gastonia, NC-SC","Myers Park","8/3/2020","2004-01-30",NULL,"157-207-28",2
"1039","Cierra Crest Apartment Homes","4500 S Monaco St, Denver, CO 80237","4500 Monaco","Denver","CO","80237","https://www.cierracrestapartments.com/cierra-crest-denver-co/","Starwood Capital Group","Lincoln Property Company","B-","B-","1996",480,443520,"Stabilized","Denver-Aurora-Lakewood, CO","Tech Center","8/17/2020","2016-01-26",NULL,"7084-00-159",3
"1040","Preserve at City Center","1098 S Evanston Way, Aurora, CO 80012","1098 Evanston","Aurora","CO","80012","http://www.preserveatcitycenter.com/","Millburn & Company","AMC LLC","B","A","1984",296,228216,"Stabilized","Denver-Aurora-Lakewood, CO","Southwest Aurora","8/3/2020","2013-03-25",NULL,"1975-18-4-16-001",3
"1041","Clarion","10 Rimington Ln, Decatur, GA 30030","10 Rimington","Decatur","GA","30030","https://clarionapts.com/","Gamma Real Estate","Lincoln Property Company","B+","B","1992",217,211575,"Stabilized","Atlanta-Sandy Springs-Roswell, GA","Decatur","8/5/2020","2016-04-27",NULL,"18-008-06-014",4
"1042","Park at Canyon Ridge","9757 E Colorado Ave, Denver, CO 80247","9757 Colorado","Denver","CO","80247","http://www.parkatcanyonridge.com/","Colrich Multifamily","Greystar","B+","A+","1986",272,213520,"Stabilized","Denver-Aurora-Lakewood, CO","Southeast Denver","8/18/2020","2017-10-11",NULL,"1973-22-4-13-001",2
"1043","Sheridan Ridge Townhomes","8403 Carter St, Overland Park, KS 66212","8403 Carter","Overland","KS","66212","http://www.sheridanridgeapts.com/","Price Brothers","Price Brothers","C","C","1973",248,403248,"Stabilized","Kansas City, MO-KS","North Overland Park","8/4/2020","2008-08-29",NULL,"NP12000000-000B",3
"1044","Talavera Apartment Homes","3501 S McClintock Dr, Tempe, AZ 85282","3501 McClintock","Tempe","AZ","85282","https://www.talaveratempe.com/","Pathfinder Partners LLC","AMC LLC","B+","A-","1984",144,146016,"Stabilized","Phoenix-Mesa-Scottsdale, AZ","South Tempe","8/3/2020","2016-10-11",NULL,"133-36-003-Y",2
"1045","The Abbey at Copper Creek","11245 Sir Winston St, San Antonio, TX 78216","11245 Sir Winston","San","TX","78216","http://www.abbeycoppercreek.com/","Abbey Residential","Abbey Residential","B-","B","1980",258,197628,"Stabilized","San Antonio-New Braunfels, TX","Airport Area","8/6/2020","2015-01-26",NULL,"16325-001-0040",2
"1047","Canopy","950 E Bitters Rd, San Antonio, TX 78216","950 Bitters","San","TX","78216","http://www.thecanopyapartments.com/","Capital Square 1031","BH Management","B","B+","1980",220,159280,"Stabilized","San Antonio-New Braunfels, TX","Airport Area","8/18/2020","2016-07-29",NULL,"16032-000-0150",3
"1048","Park 2300","2300 Village Lake Dr, Charlotte, NC 28212","2300 Village Lake","Charlotte","NC","28212","http://www.park2300.com/","Bridge Investment Group","Bridge Property Management","B","B+","1991",384,322944,"Stabilized","Charlotte-Concord-Gastonia, NC-SC","East Charlotte","8/18/2020",NULL,NULL,"",3
"1049","IMT Cherry Creek Apartments","755 S Dexter St, Denver, CO 80246","755 Dexter","Denver","CO","80246","https://www.imtresidential.com/imtCherryCreek/","IMT Residential","IMT Residential","B+","A+","1994",397,388266,"Stabilized","Denver-Aurora-Lakewood, CO","Glendale","8/18/2020","2013-03-21",NULL,"6183-04-004",3
"105","Sheffield at Sylvan","321 Pontious Ln, Circleville, OH 43113","321 Pontious","Circleville","OH","43113","https://www.opgsheffieldatsylvan.com/","","Orion Property Group","C+","B-","1989",136,105944,"Stabilized","Columbus, OH","Grove City/South Columbus","8/4/2020","2008-03-14",NULL,"A05-1-035-00-054-58",2
"1050","23 Twelve Luxe Apartment","2312 N Green Valley Pkwy, Henderson, NV 89014","2312 Green Valley","Henderson","NV","89014","https://www.23twelveluxe.com/","TruAmerica Multifamily","Pinnacle","B+","B","1987",384,330240,"Stabilized","Las Vegas-Henderson-Paradise, NV","Green Valley","8/18/2020",NULL,NULL,"178-06-817-385",3
"1051","Viera Bayside","500 110th Ave N, Saint Petersburg, FL 33716","500 110th","Saint","FL","33716","http://www.vierabaysidestpetersburg.com/st-petersburg-fl-apartments.asp","Bridge Investment Group","Bridge Investment Group","B+","B+","1986",208,153920,"Stabilized","Tampa-St. Petersburg-Clearwater, FL","North St. Petersburg","8/6/2020","2016-10-12",NULL,"18-30-17-87364-001-0010",2
"1052","Crown Court Apartment Homes","7900 E Princess Dr, Scottsdale, AZ 85255","7900 Princess","Scottsdale","AZ","85255","http://www.pillarcrowncourt.com/","Pillar Communities","Pillar Communities","C+","C","1987",416,529152,"Stabilized","Phoenix-Mesa-Scottsdale, AZ","North Scottsdale","8/18/2020","2013-04-25",NULL,"215-08-137-A",2
"1053","Crown Pointe","2611 84th St Ct S, Lakewood, WA 98499","2611 84th St","Lakewood","WA","98499","http://www.crownpointeapartments.net/","Goodman Real Estate Group","Goodman Real Estate Group","B","B+","1988",76,71896,"Stabilized","Tacoma-Lakewood, WA","Southwest Pierce County","8/5/2020","1997-12-09",NULL,"032031-5-011",3
"1055","Hartford on the Lake","2400 Shore Blvd W, Columbus, OH 43232","2400 Shore","Columbus","OH","43232","https://www.hartfordonthelake.com/","Donald A Direnzo","Link Real Estate Group","","","1960",376,272224,"Rehab","Columbus, OH","Southeast Columbus","8/6/2020","2019-09-18",NULL,"010-120719",2
"1056","Brackett Apartment Homes","9501 244th St SW, Edmonds, WA 98020","9501 244th","Edmonds","WA","98020","https://www.brackettapartments.com/","TruAmerica Multifamily","Greystar","B-","A+","1986",386,317678,"Stabilized","Seattle-Bellevue-Everett, WA","Lynnwood/Edmonds/Mukilteo","8/18/2020",NULL,NULL,"270336-004-038-00",3
"1057","Woods at Elm Creek","11707 Vance Jackson Rd, San Antonio, TX 78230","11707 Vance Jackson","San","TX","78230","https://www.liveatwoodsatelmcreek.com/","Harvest Equties Inc","Alliance Residential Company","C+","B-","1983",185,150960,"Stabilized","San Antonio-New Braunfels, TX","Northwest San Antonio","8/4/2020","2006-03-01",NULL,"15017-001-0070",2
"1058","Reserve at Garden Lake","1000 Lake Ridge Pkwy, Riverdale, GA 30296","1000 Lake Ridge","Riverdale","GA","30296","http://www.reserveatgardenlake.com/","Dayrise Residential LLC","Dayrise Residential LLC","B-","A-","1990",278,273830,"Stabilized","Atlanta-Sandy Springs-Roswell, GA","Clayton County","8/5/2020","2017-06-29",NULL,"13-216B- A-001",3
"1059","The Gates of Redmond Apartments","15325 Redmond Way, Redmond, WA 98052","15325 Redmond","Redmond","WA","98052","https://www.thegatesofredmond.com/","Gerson Bakar & Associates","Gerson Bakar & Associates","B","B-","1987",176,149600,"Stabilized","Seattle-Bellevue-Everett, WA","Redmond","8/4/2020","2015-01-15",NULL,"031900-0000",3
"106","Shadow Creek","11560 Somerset Dr, North Royalton, OH 44133","11560 Somerset","North","OH","44133",NULL,"Red Capital Group LLC","Krantz Management","C+","B-","1982",198,205524,"Stabilized","Cleveland-Elyria, OH","Strongsville/North Royalton/Medina","8/5/2020",NULL,NULL,"481-27-009",2
"1060","Gleneagle","1011 W Butler Rd, Greenville, SC 29607","1011 Butler","Greenville","SC","29607","http://www.gleneagle-apartments.com/","Bridge Real Estate Group","Weller Management","C+","C+","1989",192,177216,"Stabilized","Greenville/Spartanburg, SC","Central Greenville","8/4/2020","2017-05-23",NULL,"M013.02-01-010.00",3
"1062","Manchester at Mansell","401 Huntington Dr, Roswell, GA 30076","401 Huntington","Roswell","GA","30076","http://www.manchesteratmansell.com/","Related Group","Related Group","","","1986",470,578570,"Stabilized","Atlanta-Sandy Springs-Roswell, GA","Roswell","8/4/2020",NULL,NULL,"",3
"1063","Greyeagle","4551 Old Spartanburg Rd, Taylors, SC 29687","4551 Old Spartanburg","Taylors","SC","29687","http://www.greyeagleapts.com/","Bridge Real Estate Group","Weller Management","B-","C+","1991",156,154596,"Stabilized","Greenville/Spartanburg, SC","North Greenville","8/4/2020","2017-05-23",NULL,"0538.01-01-025.01",3
"1064","Hamptons I","2519 S Meridian St, Puyallup, WA 98373","2519 Meridian","Puyallup","WA","98373","http://www.thehamptonsapts.net/","LivCor","Bridge Investment Group","A-","B+","1991",182,156520,"Stabilized","Tacoma-Lakewood, WA","East Pierce County","8/7/2020","2016-10-05",NULL,"041903-2-006",3
"1065","Heritage Park","1920 Heritage Park Dr, Oklahoma City, OK 73120","1920 Heritage Park","Oklahoma","OK","73120","http://www.heritagepark-apts.com/","Independence Realty Trust","Independence Realty Trust","B-","C+","1983",452,394144,"Stabilized","Oklahoma City, OK","North Central Oklahoma City","8/18/2020","2014-02-28",NULL,"120965000",2
"1066","Hickory Ridge","2413 Wade Hampton Blvd, Greenville, SC 29615","2413 Wade Hampton","Greenville","SC","29615","http://www.hickoryridgeapartmenthomes.com/","RFH Advisors","Bolt Property Management","B-","B-","1967",90,74250,"Stabilized","Greenville/Spartanburg, SC","North Greenville","8/6/2020","2014-06-30",NULL,"P015.07-02-053.00",2
"1068","Hidden Palms","14555 Bruce B. Downs Blvd, Tampa, FL 33613","14555 Bruce B. Downs","Tampa","FL","33613","http://www.hiddenpalmsapartmenthomes.com/","Residential Management","RESIDENTIAL MANAGEMENT INC","C+","B","1987",256,196096,"Stabilized","Tampa-St. Petersburg-Clearwater, FL","University","8/4/2020","2009-01-08",NULL,"034810-0000",3
"1069","Bryson Square","24006 108th Pl SE, Kent, WA 98030","24006 108th","Kent","WA","98030","http://www.brysonsquareapts.com/","Aegon Asset Management","Thrive Communities Inc","C+","B+","1989",198,175230,"Stabilized","Seattle-Bellevue-Everett, WA","Kent/Auburn","8/6/2020","2019-06-10",NULL,"202205-9034",3
"107","Spring Brook","1074 W 32nd St, Holland, MI 49423","1074 32nd","Holland","MI","49423","http://www.springbrookapartments.com/","The Embassy Group LLC","AMP Residential","A-","A+","1987",168,151872,"Stabilized","Grand Rapids/Muskegon/Holland, MI","Muskegon/Holland","8/3/2020",NULL,NULL,"",2
"1070","The Grove at Stone Mountain","1900 Glenn Club Dr, Stone Mountain, GA 30087","1900 Glenn Club","Stone","GA","30087","https://stonemountainapartments.com/","5 Cap Realty LLC","Forty2 LLC","B-","A+","1989",268,232088,"Stabilized","Atlanta-Sandy Springs-Roswell, GA","Stone Mountain","8/7/2020",NULL,NULL,"",3
"1071","Highland Point","16893 E Arkansas Ave, Aurora, CO 80017","16893 Arkansas","Aurora","CO","80017","http://www.highland-point.com/","Redwood Management Co","Westdale Asset Management","C+","B-","1985",318,237864,"Stabilized","Denver-Aurora-Lakewood, CO","North Aurora","8/18/2020","2009-08-31",NULL,"1975-20-1-27-001",2
"1072","Huntington Hollow","4343 S 109th E Ave, Tulsa, OK 74146","4343 109th","Tulsa","OK","74146","https://www.huntingtonhollowapts.com/","Jamison Management Company","TMC Property Management","C","C+","1981",288,213696,"Stabilized","Tulsa, OK","East Tulsa","8/7/2020",NULL,NULL,"",2
"1073","Idlewood","3543 Idlewood Ter, Indianapolis, IN 46214","3543 Idlewood","Indianapolis","IN","46214",NULL,"Mid-America Management Corporation","Mid-America Management Corporation","B-","B","1991",320,259520,"Stabilized","Indianapolis-Carmel-Anderson, IN","Eagle Creek","8/3/2020",NULL,NULL,"49-05-23-100-010.000-900",3
"1074","Ironwood at the Ranch","11705 Decatur St, Westminster, CO 80234","11705 Decatur","Westminster","CO","80234","http://ironwoodattheranch.com/","Grand Peaks Property Management","Grand Peaks Property Management","B-","B+","1986",225,183150,"Stabilized","Denver-Aurora-Lakewood, CO","Westminster","8/18/2020","2013-12-21",NULL,"R0032087",3
"1075","Madison at Walnut Creek","12113 Metric Blvd, Austin, TX 78758","12113 Metric","Austin","TX","78758","http://www.mymadisonatwalnutcreek.com/","Northland Investment Corporation","Northland Investment Corporation","C+","B-","1994",342,286254,"Stabilized","Austin-Round Rock, TX","North Central Austin","8/4/2020","2008-08-22",NULL,"262009",3
"1076","Kirby Place","7500 Kirby Dr, Houston, TX 77030","7500 Kirby","Houston","TX","77030","http://www.7500kirbyplace.com/","Strata Equity Group","Pinnacle","B","C","1994",362,362724,"Stabilized","Houston-The Woodlands-Sugar Land, TX","West University/Medical Center/Third Ward","8/18/2020","2015-03-24",NULL,"117-748-000-0001",4
"1077","Landera","13400 Blanco Rd, San Antonio, TX 78216","13400 Blanco","San","TX","78216","https://liveatlandera.com/","Harvest Equties Inc","Alliance Residential Company","B-","B","1983",184,166704,"Stabilized","San Antonio-New Braunfels, TX","Airport Area","8/5/2020","2006-03-01",NULL,"17071-001-0010",2
"1078","Larkspur Woods","2900 Weald Way, Sacramento, CA 95833","2900 Weald","Sacramento","CA","95833","http://www.larkspurwoodsapartments.com/","Calfox Inc","Greystar","A-","A","1991",232,251952,"Stabilized","Sacramento--Roseville--Arden-Arcade, CA","Natomas","8/18/2020","2008-09-29",NULL,"225-0230-085-0000",2
"1079","ARIUM Reserve at Orange Park","351 Crossing Blvd, Orange Park, FL 32073","351 Crossing","Orange","FL","32073","http://www.ariumreserve.com/","Carroll Organization","Carroll Organization","B","B+","1989",272,310080,"Stabilized","Jacksonville, FL","Orange Park/Clay County","8/6/2020","2013-02-28",NULL,"05-04-26-019825-001-38",3
"1080","The Marks I","1701 E Hampden Ave, Englewood, CO 80113","1701 Hampden","Englewood","CO","80113","http://www.marks-living.com/","Starwood Capital Group","Highmark Residential","B-","B-","1986",280,240240,"Stabilized","Denver-Aurora-Lakewood, CO","South Denver/Englewood","8/13/2020","2016-01-26",NULL,"1971-35-4-20-002",3
"1081","Martha Lake","16626 6th Ave W, Lynnwood, WA 98037","16626 6th","Lynnwood","WA","98037","http://www.marthalakeapts.com/","Sares-Regis Group","Sares-Regis Group","B-","A","1991",155,132525,"Stabilized","Seattle-Bellevue-Everett, WA","Lynnwood/Edmonds/Mukilteo","8/18/2020","2014-11-18",NULL,"005089-000-013-00",3
"1082","Merrill Creek","6022 78th St Ct W, Lakewood, WA 98499","6022 78th St","Lakewood","WA","98499","http://www.merrillcreekapartments.com/","Privately Owned","Indigo Real Estate Services Inc","B","B+","1994",149,137676,"Stabilized","Tacoma-Lakewood, WA","Southwest Pierce County","8/6/2020",NULL,NULL,"",3
"1083","Metropolitan Park Apartments","601 S Washington St, Seattle, WA 98104","601 Washington","Seattle","WA","98104","http://www.metropolitanparkapts.com/","Acacia Capital Corp","AMC LLC","A-","B-","1991",82,53710,"Stabilized","Seattle-Bellevue-Everett, WA","Downtown Seattle","8/3/2020","2012-06-21",NULL,"524780-2005",6
